"","choice","income","price","text"
"1","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"2","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"3","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"4","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"5","Yes",70000,749," Yes, I bought the Surface Laptop 3."
"6","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"7","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"8","No",70000,749,"
No, I didn't purchase any laptop today. I was looking at the Surface Laptop 3 but I didn't think it met my needs at this price point."
"9","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"10","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3 with Intel Core i5, 8GB RAM, 13.5in screen size, and 128GB SD."
"11","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"12","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3. It has an Intel Core i5 processor, 8GB RAM, 13.5in screen size, and 128GB solid-state drive."
"13","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"14","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"15","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"16","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"17","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"18","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"19","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"20","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"21","Yes",70000,749," Yes, I purchased the Surface Laptop 3. It has an Intel Core i5 processor, 8GB of RAM, a 13.5in screen, and a 128GB SD."
"22","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"23","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"24","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"25","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"26","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3 - it had an Intel Core i5 processor, 8GB of RAM, a 13.5-inch screen, and 128GB of storage."
"27","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"28","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"29","No",70000,749,"
No, I did not purchase any laptop. I liked the Surface Laptop 3, but I thought it was too expensive for me."
"30","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"31","Yes",70000,749,"
Yes, I purchased a Surface Laptop 3."
"32","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"33","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"34","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"35","Yes",70000,749," Yes, I purchased the Surface Laptop 3 with the Intel Core i5 processor, 8GB of RAM, 13.5in screen size and 128GB SD."
"36","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"37","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"38","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"39","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"40","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"41","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3 I saw."
"42","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"43","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"44","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"45","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"46","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"47","Yes",70000,749," Yes, I purchased a Surface Laptop 3."
"48","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"49","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"50","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"51","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"52","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"53","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"54","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"55","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"56","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"57","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
"58","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3 that I saw. It had an Intel Core i5 processor, 8GB RAM, 13.5in screen, and a 128GB SD."
"59","Yes",70000,749," Yes, I purchased a Surface Laptop 3."
"60","Yes",70000,749," Yes, I purchased a Surface Laptop 3."
"61","Yes",70000,749," Yes, I purchased the Surface Laptop 3."
"62","Yes",70000,749,"
Yes, I purchased the Surface Laptop 3."
