"","choice","income","price","text"
"1","Yes",50000,749," Yes, I purchased the Surface Laptop 3."
"2","Yes",50000,749," Yes, I purchased the Surface Laptop 3 with an Intel Core i5 processor, 8GB of RAM, a 13.5in screen, and 128GB of SD storage."
"3","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3."
"4","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3."
"5","Yes",50000,749," Yes, I purchased the Surface Laptop 3."
"6","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3."
"7","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3."
"8","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3."
"9","Yes",50000,749," Yes, I purchased the Surface Laptop 3."
"10","Yes",50000,749," Yes, I purchased the Surface Laptop 3."
"11","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3."
"12","Yes",50000,749," Yes, I purchased the Surface Laptop 3."
"13","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3."
"14","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3."
"15","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3."
"16","Yes",50000,749," Yes, I purchased the Surface Laptop 3."
"17","Yes",50000,749," Yes, I purchased the Surface Laptop 3."
"18","Yes",50000,749," Yes, I purchased the Surface Laptop 3."
"19","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3 with Intel Core i5, 8GB of RAM, 13.5in screen size, and 128GB of SD storage."
"20","Yes",50000,749," Yes, I purchased the Surface Laptop 3."
"21","Yes",50000,749," Yes, I purchased the Surface Laptop 3."
"22","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3."
"23","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3."
"24","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3."
"25","Yes",50000,749," Yes, I purchased the Surface Laptop 3."
"26","Yes",50000,749," Yes, I purchased the Surface Laptop 3."
"27","Yes",50000,749,"
Yes, I purchased the Surface Laptop 3."
"28","Yes",50000,749,"
Yes, I purchased a Surface Laptop 3."
